Gender,Age,Grade,No. of Family Members
1,15,12,6
1,20,12,7
2,19,5,5
1,15,4,10
2,19,10,9
1,22,1,5
1,15,4,2
2,18,8,10
2,19,7,3
1,22,1,9
1,15,12,7
1,18,3,4
1,19,7,4
2,19,4,1
1,16,5,10
1,22,11,10
1,17,11,4
2,15,3,2
1,17,11,4
1,18,8,9
2,20,7,5
2,18,9,3
2,16,10,2
2,14,4,2
2,21,4,5
1,19,11,3
1,14,12,7
1,16,8,2
1,21,5,1
1,20,4,8
1,18,3,3
2,21,10,3
1,15,1,2
1,14,6,7
2,20,4,5
2,19,4,3
1,20,6,5
1,17,1,7
2,20,11,9
2,19,4,9
1,21,7,8
1,17,2,6
2,19,2,3
2,18,3,2
2,21,1,8
2,20,2,4
1,15,5,1
2,19,8,5
1,19,4,4
2,22,4,8
2,18,6,1
2,16,3,5
2,16,2,5
1,22,11,9
2,16,3,5
2,14,10,6
1,14,10,3
2,22,9,1
2,21,10,4
2,15,11,3
1,19,5,9
1,15,4,7
2,16,2,9
2,20,11,3
1,16,9,4
2,17,8,1
1,21,3,6
1,17,9,3
1,14,2,8
1,16,1,3
2,21,2,5
2,19,6,3
1,15,4,9
2,17,8,6
2,14,10,3
2,21,1,5
2,19,3,6
2,18,4,7
2,14,11,6
2,20,6,8
1,20,4,7
1,14,9,9
1,19,10,6
1,17,6,4
2,21,1,7
1,14,2,9
1,22,2,4
1,19,1,1
2,18,11,2
1,16,10,8
2,18,12,6
1,16,10,4
1,20,2,7
1,14,7,5
2,18,3,1
1,17,6,10
1,17,2,6
1,21,12,2
1,18,7,2
1,14,5,6
2,15,6,5
1,14,6,7
2,17,5,7
2,14,2,3
1,16,6,6
1,20,11,2
2,18,1,1
2,15,7,9
1,21,12,4
1,18,11,8
1,20,3,7
2,14,8,4
2,21,11,5
2,20,9,4
1,17,8,5
2,15,2,4
2,22,10,8
2,20,11,8
1,21,7,10
1,21,7,3
1,20,1,10
1,15,4,4
2,14,10,7
1,18,2,1
2,16,5,10
2,16,11,9
1,14,4,5
2,20,8,1
1,18,4,4
1,21,11,3
1,22,11,2
2,16,1,10
2,14,4,4
1,14,4,4
2,15,11,7
2,17,1,10
1,16,9,9
2,15,7,1
1,16,1,5
1,14,11,8
1,14,11,6
2,22,3,6
2,21,4,6
2,19,5,7
1,19,6,2
2,19,11,8
2,19,5,8
2,22,4,8
2,15,2,3
2,20,9,1
2,18,7,2
1,19,5,7
1,19,7,8
1,17,7,10
2,16,10,10
1,22,3,10
2,16,1,1
2,19,7,7
2,17,7,7
2,16,8,7
2,19,10,1
2,22,6,5
1,18,4,3
2,18,11,3
1,18,11,6
1,18,9,7
2,20,1,6
2,18,3,3
1,22,8,5
1,15,11,10
1,20,5,5
2,20,11,2
2,22,10,10
2,19,4,2
2,17,6,9
1,18,12,5
2,14,7,2
2,17,9,8
2,21,3,5
1,15,2,5
2,14,10,10
1,16,1,5
1,21,4,1
1,17,9,8
1,22,5,4
1,17,5,4
1,20,8,1
2,20,3,6
2,14,11,4
1,20,7,7
2,22,6,4
1,21,4,7
2,18,6,5
2,20,2,4
1,16,1,2
1,16,1,8
1,20,9,2
1,21,8,10
1,18,9,4
1,19,7,6
